,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_1482,REDIPUGLIA,VRTOJBA,22.5,110.0,,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1482"""", """"tyndp2024_invest_id""""=>""""1482""""""",13.649483,45.908167,13.471298,45.85989,,False
TYNDP2024_1630,Aach (DE),Bofferdange (LU),40.0,400.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1630"""", """"tyndp2024_invest_id""""=>""""1630""""""",6.594492,49.80288,6.311937,49.723265,,False
TYNDP2024_1536,Portile de Fier,Djerdap,2.0,400.0,,in_planning,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1536"""", """"tyndp2024_invest_id""""=>""""1536""""""",22.449634,44.667286,22.573231,44.713391,,False
TYNDP2024_1538,WPP Cibuk,SS Belgrade 50,83.0,400.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1538"""", """"tyndp2024_invest_id""""=>""""1538""""""",20.314298,44.842881,20.860565,44.874246,,False
TYNDP2024_1864,Portile de Fier 220kV,Resita 220kV,116.55,220.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1864"""", """"tyndp2024_invest_id""""=>""""1864""""""",22.002869,45.305803,22.571411,44.717465,,False
TYNDP2024_1699,SS Jagodina 4,SS Pozarevac 3,77.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1699"""", """"tyndp2024_invest_id""""=>""""1699""""""",21.2444,44.729727,21.403702,43.941978,,False
TYNDP2024_1622,Bitola,Elbasan,151.0,400.0,,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1622"""", """"tyndp2024_invest_id""""=>""""1622""""""",21.300516,41.040759,20.073137,41.105464,,False
TYNDP2024_1593,Gatica,Guenes,38.8,400.0,,in_planning,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1593"""", """"tyndp2024_invest_id""""=>""""1593""""""",-2.930717,43.215352,-2.887206,43.321619,,False
TYNDP2024_1595,Gatica,Ichaso,69.12,400.0,,in_planning,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1595"""", """"tyndp2024_invest_id""""=>""""1595""""""",-2.88702,43.32182,-2.442989,43.057043,,False
TYNDP2024_1597,Gatica,Azpeitia,57.0,400.0,,in_planning,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1597"""", """"tyndp2024_invest_id""""=>""""1597""""""",-2.880659,43.32139,-2.377882,43.260303,,False
