Bus,busmap
FR79-225,FRH01
FR8-225,FRE12
FR80-400,FRF22
FR81-225,FRH02
FR82-225,FRH02
FR83-225,FRF24
FR84-400,FR102
FR85-225,FRD13
FR86-225,FRF34
FR87-225,FRB02
FR88-225,FRF34
FR89-225,FRF34
FR9-225,FRE11
FR90-225,FRF34
FR91-225,FRF22
FR92-225,FR102
FR93-225,FRB02
FR94-225,FRF34
FR95-400,FRF34
FR96-400,FRF34
FR97-225,FRH03
FR98-225,FRF12
FR99-225,FRH03
GB1-220,GBM61
GB10-275,GBM72
GB11-275,GBM75
GB12-275,GBM75
GB13-400,GBM73
GB14-400,GBM83
GB15-275,GBM95
GB16-400,GBC21
GB17-275,GBC14
GB18-400,GBD44
GB19-220,GBD12
GB2-220,GBM61
GB20-400,GBD44
GB21-220,GBE12
GB22-400,GBD44
GB23-275,GBE22
GB24-220,GBH16
GB25-400,GBE44
GB26-275,GBE44
GB27-400,GBD46
GB28-275,GBE44
GB29-275,GBD37
GB3-220,GBM61
GB30-400,GBE13
GB31-400,GBE31
GB32-400,GBE13
GB33-400,GBE45
GB34-400,GBE45
GB35-400,GBE13
GB36-400,GBE31
GB37-275,GBE31
GB38-220,GBF30
GB39-400,GBF15
GB4-220,GBM61
GB40-275,GBD35
GB41-275,GBE32
GB42-275,GBE32
GB43-400,GBD71
GB44-275,GBD63
GB46-220,GBH16
GB47-400,GBL12
GB48-400,GBL12
GB49-400,GBL12
GB5-220,GBM61
GB50-400,GBL23
GB51-400,GBF13
GB52-400,GBF30
GB53-400,GBF13
GB54-400,GBG24
GB55-275,GBG24
GB56-400,GBG24
GB57-400,GBG24
GB58-275,GBG13
GB59-275,GBG12
GB6-220,GBM50
GB60-275,GBG12
GB61-275,GBG12
GB62-220,GBH14
GB63-400,GBH34
GB64-220,GBH14
GB65-400,GBK12
GB66-275,GBL22
GB68-275,GBL22
GB69-400,GBH32
GB7-275,GBM50
GB71-275,GBL22
GB72-400,GBI32
GB73-400,GBJ43
GB74-275,GBJ43
GB74-400,GBJ43
GB75-400,GBJ41
GB76-275,GBI62
GB78-400,GBI61
GB79-400,GBI61
GB8-220,GBM50
GB81-400,GBK23
GB82-275,GBJ44
GB83-400,GBJ36
GB9-275,GBM72
GR10-400,GR641
GR11-400,GR641
GR12-400,GR641
GR13-400,GR641
GR14-400,GR305
GR15-400,GR305
GR16-400,GR305
GR3-400,GR513
GR4-400,GR513
GR5-400,GR522
GR6-400,GR522
GR7-400,GR522
GR8-400,GR612
GR9-400,GR641
HR1-220,HR028
HR2-220,HR032
HR3-220,HR032
HR4-220,HR035
HU1-400,HU323
HU10-400,HU211
HU11-220,HU120
HU12-400,HU120
HU13-400,HU223
HU14-400,HU333
HU2-400,HU323
HU3-220,HU311
HU3-400,HU311
HU4-380,HU221
HU4-400,HU221
HU5-400,HU221
HU6-220,HU312
HU7-220,HU311
HU8-400,HU221
HU9-400,HU221
IE1-220,IE061
IE2-220,IE062
IE3-220,IE061
IE4-220,IE062
IE5-220,IE061
IE6-220,IE062
IE7-220,IE053
IE8-220,IE053
IT1-220,ITH10
IT10-220,ITC44
IT100-220,ITH55
IT101-220,ITC32
IT102-380,ITC16
IT103-220,ITI11
IT104-220,ITC32
IT105-220,ITC32
IT106-220,ITC31
IT107-220,ITC31
IT108-220,ITC31
IT109-220,ITC31
IT11-220,ITH20
IT110-220,ITC31
IT111-220,ITC31
IT112-220,ITC31
IT113-220,ITC31
IT115-220,ITI17
IT116-220,ITI17
IT117-220,ITI34
IT118-380,ITI34
IT119-380,ITI21
IT12-220,ITH42
IT120-380,ITF14
IT121-380,ITF14
IT122-380,ITI43
IT123-380,ITI43
IT124-380,ITF46
IT125-380,ITF32
IT126-220,ITF31
IT127-380,ITF51
IT128-220,ITF33
IT129-220,ITF33
IT13-380,ITC41
IT130-220,ITF35
IT131-380,ITG2D
IT132-380,ITG2D
IT133-220,ITF44
IT134-380,ITF52
IT135-220,ITF51
IT136-380,ITF61
IT137-220,ITF61
IT138-380,ITF65
IT139-380,ITF65
IT14-220,ITC44
IT140-380,ITG13
IT141-380,ITG19
IT142-380,ITG17
IT143-380,ITG17
IT15-220,ITC46
IT16-220,ITC46
IT17-220,ITH20
IT18-220,ITH33
IT19-380,ITH42
IT2-220,ITH10
IT20-220,ITC43
IT21-380,ITH42
IT23-380,ITC47
IT24-380,ITC47
IT25-380,ITC47
IT26-380,ITC47
IT27-220,ITH20
IT28-380,ITC47
IT29-220,ITH41
IT3-380,ITC44
IT30-220,ITH20
IT31-220,ITH41
IT33-220,ITH34
IT34-380,ITH42
IT36-220,ITH34
IT38-220,ITH34
IT39-220,ITH43
IT4-380,ITC44
IT42-220,ITH20
IT43-380,ITC43
IT44-380,ITC47
IT45-380,ITC47
IT46-220,ITC47
IT47-220,ITC20
IT48-220,ITH32
IT49-220,ITC47
IT5-220,ITC14
IT50-220,ITC15
IT51-380,ITC47
IT52-220,ITC15
IT53-220,ITH36
IT54-380,ITC47
IT55-380,ITH32
IT56-380,ITC47
IT57-380,ITC47
IT58-220,ITH34
IT59-220,ITH34
IT6-220,ITH42
IT60-380,ITC20
IT60-400,ITC20
IT61-380,ITC20
IT61-400,ITC20
IT62-380,ITH34
IT63-220,ITC4C
IT64-220,ITH32
IT65-220,ITC4D
IT66-220,ITC4C
IT67-220,ITC4C
IT68-220,ITC15
IT69-220,ITC4C
IT7-220,ITH33
IT70-220,ITH35
IT71-220,ITH35
IT72-220,ITH31
IT73-380,ITH31
IT74-220,ITC12
IT75-220,ITC4B
IT76-220,ITH31
IT77-380,ITC11
IT78-380,ITC11
