id,name,source_id,node_id,lat,long,country_code,is_bothDirection,lat_mean,length_km,long_mean,max_pressure_bar,num_compressor,start_year,Capacity_GWh_h,diameter_mm
INET_PL_25_EE_0,ArtereDeLAdour0,['INET_PL_25'],"['GSE_N_186', 'INET_N_174']","[43.3122, 43.333204]","[-1.986, -1.743022]","['ES', 'FR']",0.0,43.322702,19.80004167551746,-1.864511,76.80652874754169,0.0,1983.0,7.924429246522989,709.5161904761904
INET_PL_25_EE_1,ArtereDeLAdour1,['INET_PL_25'],"['INET_N_174', 'INET_N_141']","[43.333204, 43.493]","[-1.743022, -1.462]","['FR', 'FR']",0.0,43.413102,28.835672934684723,-1.602511,76.80652874754169,0.0,1983.0,19.39928803485337,998.4639333647048
INET_PL_28,BBL,['INET_PL_28'],"['INET_N_103', 'INET_N_65']","[52.8506, 52.86]","[1.466, 4.822]","['GB', 'NL']",1.0,52.8553,225.38404933548642,3.144,135.0,1.0,2006.0,18.161041666666666,914.0
INET_PL_30,Benevento_Biccari,['INET_PL_30'],"['INET_N_168', 'INET_N_149']","[41.396964, 41.128905]","[15.195382, 14.781876]","['IT', 'IT']",0.0,41.2629345,45.65430524382574,14.988629,64.0,0.0,1983.0,4.842896986426885,609.0
INET_PL_32,Bernalda_Grumento,['INET_PL_32'],"['INET_N_577', 'INET_N_157']","[40.316324, 40.412126]","[15.90466, 16.688712]","['IT', 'IT']",0.0,40.364225000000005,67.29777547648362,16.296686,75.0,0.0,1983.0,22.680775649265325,1066.8
INET_PL_34,Berneau_Eynatten,['INET_PL_34'],"['INET_N_161', 'INET_N_477']","[50.753777, 50.7]","[5.739351, 6.09]","['BE', 'BE']",0.0,50.7268885,25.40358987522274,5.9146754999999995,76.80652874754169,0.0,1983.0,5.508333333333333,998.4639333647048
INET_PL_36,Berneau_Gravenvoeren,['INET_PL_36'],"['INET_N_161', 'INET_N_564']","[50.753777, 50.7587829]","[5.739351, 5.7611628]","['BE', 'BE']",0.0,50.75627995,1.632693831453437,5.7502569,76.80652874754169,0.0,1983.0,16.491666666666667,998.4639333647048
INET_PL_38,Beziers_Barbaira,['INET_PL_38'],"['INET_N_166', 'INET_N_127']","[43.34632, 43.1756]","[3.231472, 2.513]","['FR', 'FR']",0.0,43.26096,61.217047219594306,2.872236,75.06563383292676,0.0,1983.0,7.924429246522989,709.5161904761904
INET_PL_40,BGTP,['INET_PL_40'],"['INET_N_144', 'INET_N_120']","[54.589, 54.84019]","[-5.911, -5.788932]","['GB', 'GB']",0.0,54.714595,29.0197714347825,-5.849966,75.0,0.0,1983.0,4.589900761271087,600.0
INET_PL_42,Biccari_Candela,['INET_PL_42'],"['INET_N_252', 'INET_N_168']","[41.136273, 41.396964]","[15.514454, 15.195382]","['IT', 'IT']",0.0,41.2666185,39.40077754479442,15.354918000000001,75.0,0.0,1983.0,30.769836674573966,1219.0
INET_PL_44,Bordano_MoggioUdinesse_1,['INET_PL_44'],"['INET_N_981', 'INET_N_196']","[46.398538, 46.31489]","[13.186671, 13.105341]","['IT', 'IT']",0.0,46.356714,11.204826012488082,13.146006,75.0,0.0,1983.0,47.86666666666667,1219.2
INET_PL_46,Bordano_MoggioUdinesse_2,['INET_PL_46'],"['INET_N_981', 'INET_N_196']","[46.398538, 46.31489]","[13.186671, 13.105341]","['IT', 'IT']",0.0,46.356714,11.204826012488082,13.146006,70.0,0.0,1983.0,47.86666666666667,1066.8
INET_PL_48,Bosentino_Trento_1,['INET_PL_48'],"['INET_N_1506', 'INET_N_200']","[46.074613, 46.001982]","[11.129449, 11.224358]","['IT', 'IT']",0.0,46.0382975,10.907285472430196,11.1769035,70.0,0.0,1983.0,0.059660743535608685,406.4
INET_PL_50,Bosentino_Trento_2,['INET_PL_50'],"['INET_N_1506', 'INET_N_200']","[46.074613, 46.001982]","[11.129449, 11.224358]","['IT', 'IT']",0.0,46.0382975,10.907285472430196,11.1769035,64.0,0.0,1983.0,0.059660743535608685,254.0
INET_PL_52_EE_0,Voisines_Lyon0,['INET_PL_52'],"['INET_N_899', 'INET_N_467']","[45.754, 46.336132]","[4.842, 5.212561]","['FR', 'FR']",0.0,46.045066,70.7887501646423,5.0272805,73.30339705766276,0.0,1983.0,21.458806833847866,1041.8767378941177
INET_PL_52_EE_1,Voisines_Lyon1,['INET_PL_52'],"['INET_N_467', 'INET_N_1110']","[46.336132, 46.958]","[5.212561, 5.028608]","['FR', 'FR']",0.0,46.647065999999995,70.58199088477593,5.1205845,73.30339705766276,0.0,1983.0,26.043265432067525,1132.5537688442212
INET_PL_52_EE_2,Voisines_Lyon2,['INET_PL_52'],"['INET_N_1110', 'INET_N_1584']","[46.958, 47.95245]","[5.028608, 5.14]","['FR', 'FR']",0.0,47.455225,110.92928343451165,5.0843039999999995,76.80652874754169,0.0,1983.0,7.924429246522989,709.5161904761904
INET_PL_56_EE_0,Morelmaison_Paris0,['INET_PL_56'],"['INET_N_1116', 'INET_N_473']","[48.852, 48.6539418]","[2.371, 2.6357442]","['FR', 'FR']",0.0,48.752970899999994,29.36420336383068,2.5033721,63.51782227405727,0.0,1983.0,4.589900761271087,600.0
INET_PL_56_EE_1,Morelmaison_Paris1,['INET_PL_56'],"['INET_N_473', 'INET_N_363']","[48.6539418, 48.310884]","[2.6357442, 3.829932]","['FR', 'FR']",0.0,48.4824129,95.9576137957858,3.2328381,63.51782227405727,0.0,1983.0,4.589900761271087,600.0
INET_PL_56_EE_2,Morelmaison_Paris2,['INET_PL_56'],"['INET_N_363', 'INET_N_1584']","[48.310884, 47.95245]","[3.829932, 5.14]","['FR', 'FR']",0.0,48.131667,105.10850231408133,4.484966,63.51782227405727,0.0,1983.0,4.589900761271087,600.0
INET_PL_56_EE_3,Morelmaison_Paris3,['INET_PL_56'],"['INET_N_1584', 'INET_N_999']","[47.95245, 48.43]","[5.14, 5.819]","['FR', 'FR']",0.0,48.191225,73.18735660190374,5.4795,63.51782227405727,0.0,1983.0,4.589900761271087,600.0
